Date,South Carolina,Louisiana,Virginia,Idaho,Iowa,Missouri,Oklahoma,Colorado,Illinois,Indiana,Mississippi,Nebraska,Pennsylvania,Washington,Vermont,Florida,North Carolina,California,New York,Wyoming,Michigan,Kentucky,Ohio,Alaska,Tennessee,Texas,Maine,Maryland,Minnesota,Arizona,Georgia,Arkansas,Wisconsin,Kansas,New Jersey,South Dakota,Alabama,North Dakota,Massachusetts,New Hampshire,Oregon,West Virginia,New Mexico,Utah,Rhode Island,Montana,Nevada,District of Columbia,Connecticut,Hawaii,Delaware,Diamond Princess,Grand Princess,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands
1,1083,5237,1249,515,497,1357,568,2966,5994,2158,937,172,4963,5432,293,6741,1535,8210,75833,109,7615,628,2199,119,2391,3809,303,1660,629,1289,3929,523,1412,434,18696,108,987,122,6620,357,690,162,315,888,488,198,1114,495,3128,204,319,49,116,69,2,239,30
2,210,1187,234,51,50,256,153,16,986,406,136,38,1046,176,28,215,140,1189,8115,21,1700,4,348,13,542,546,0,326,60,241,709,61,144,51,3559,21,73,20,1118,10,46,29,25,0,78,10,165,91,429,20,49,0,0,8,4,47,0
3,261,2735,223,210,67,244,160,360,715,474,104,36,1259,781,17,2052,302,1374,8558,20,1476,138,354,11,-88,714,73,345,53,185,710,59,192,68,3335,36,173,17,1228,-51,90,25,48,204,91,33,184,67,267,32,25,0,0,5,0,30,0
4,165,1284,312,101,85,164,125,536,1188,458,154,40,1441,479,58,1114,224,1421,10218,16,1643,62,381,14,263,714,32,429,65,257,433,65,191,66,3972,25,178,16,1178,102,81,36,94,172,89,15,131,117,617,39,94,0,0,10,1,53,4
5,165,1284,311,101,85,163,124,536,1188,458,154,39,1440,479,58,1114,224,1420,10218,16,1642,62,381,14,263,713,31,429,64,257,433,65,191,66,3972,25,177,16,1178,102,81,36,94,172,88,15,131,116,617,38,93,0,0,10,1,53,4
6,165,1283,311,100,85,163,124,536,1188,457,153,39,1440,478,58,1114,224,1420,10218,15,1642,61,380,14,262,713,31,428,64,257,433,64,190,66,3971,25,177,16,1178,101,80,36,94,172,88,15,130,116,617,38,93,0,0,10,0,53,4
7,183,1857,238,23,77,389,75,233,1003,545,100,53,1538,486,31,974,313,985,8655,13,1503,0,410,-48,169,834,29,428,51,246,667,38,129,98,3585,48,187,18,1337,94,0,21,87,77,160,13,98,95,1231,16,110,0,0,1,0,38,1
8,185,1417,457,69,100,394,145,246,9,554,177,30,1726,381,32,1221,337,1332,8060,6,1749,194,329,76,337,882,20,326,83,138,1508,71,129,63,3326,32,217,12,1365,0,64,67,119,61,147,20,171,114,875,23,145,0,0,8,0,60,0
9,0,746,310,40,99,79,52,226,2807,433,88,72,1778,584,30,911,200,1546,11186,5,1376,0,366,13,224,852,18,1158,85,166,1079,54,132,134,3021,73,159,14,1588,32,49,71,26,109,221,13,135,229,0,0,188,0,0,0,3,47,2
10,376,1253,397,22,125,223,160,0,1,408,257,49,1669,363,23,908,237,813,10718,9,1158,192,364,9,271,1431,23,656,86,-18,665,119,176,70,3590,54,375,18,2151,72,140,31,-37,1,277,22,197,83,2003,32,93,0,0,7,0,63,0
11,274,970,467,122,118,465,108,547,2808,556,209,67,1751,480,51,1167,229,1371,10569,9,930,352,366,11,257,897,26,783,96,94,919,52,182,1,3561,89,244,9,2033,0,1,60,216,247,0,11,266,137,754,0,117,0,0,2,0,42,5
12,144,761,568,42,122,211,74,311,1293,528,173,64,1668,315,32,963,389,625,8678,22,1171,0,372,11,241,918,30,726,91,281,674,57,145,158,3563,90,270,15,1886,66,49,3,10,104,622,12,-20,118,972,23,153,0,0,3,0,63,1
13,109,581,197,11,77,161,102,794,1672,493,139,92,1219,175,16,1401,216,1089,8007,9,639,270,354,15,376,654,17,531,194,149,293,52,128,69,3699,104,346,15,2615,44,156,16,154,96,316,10,134,97,525,34,146,0,0,0,0,109,0
14,71,421,473,19,123,246,99,384,1173,431,161,23,1354,26,21,1124,316,1136,6716,5,1391,55,371,5,102,598,65,711,0,163,863,130,87,46,2734,138,171,23,1392,56,57,18,17,60,0,7,154,80,1346,5,133,0,0,0,0,6,0
15,162,502,435,38,189,231,115,259,1223,168,145,83,1173,164,4,609,227,1425,7271,7,1366,30,310,8,217,731,37,536,74,104,1263,88,127,51,4240,120,219,10,1297,-63,49,29,83,54,586,5,144,103,608,7,168,0,0,0,0,20,0
16,103,433,318,9,96,45,79,6,1345,433,273,4,1288,143,7,883,227,1330,11434,5,1058,162,509,8,0,901,35,560,114,155,409,71,166,63,2206,180,122,24,1754,217,30,62,139,131,0,5,77,139,766,13,88,0,0,2,2,51,0
17,222,584,496,68,169,290,101,368,1493,597,217,83,1568,288,10,1124,353,1236,8072,9,982,156,657,8,218,971,29,770,131,274,1104,63,166,113,3719,122,248,14,2242,74,61,37,57,123,463,9,157,140,1027,9,152,0,0,1,0,47,0
18,221,583,495,68,168,290,101,367,1492,597,216,82,1567,287,10,1124,352,1235,8071,9,982,156,656,8,218,971,28,770,130,273,1103,63,166,113,3718,121,248,14,2242,74,61,36,56,122,463,9,156,139,1027,8,151,0,0,0,0,47,0
19,149,462,562,46,181,208,0,356,1582,487,181,183,1764,259,24,733,283,1334,11115,4,768,185,1115,5,326,855,20,754,139,213,475,49,146,91,2953,131,141,135,1970,55,59,10,201,124,314,4,102,190,741,33,221,0,0,0,1,50,2
20,129,348,489,13,389,164,102,683,1197,570,300,225,1250,479,10,822,273,940,6103,4,633,253,1380,5,481,556,20,521,147,209,632,37,147,84,3881,93,176,57,1705,48,66,105,47,152,215,7,102,127,412,6,0,0,0,0,0,95,0
21,69,595,448,4,257,147,113,0,1156,477,238,174,1012,-141,3,745,294,2255,5245,4,576,90,1317,2,168,491,8,837,114,135,1106,192,153,143,3421,50,191,42,0,57,47,12,126,144,384,0,102,134,1853,4,207,0,0,0,0,39,0
22,-7,331,640,64,482,176,127,743,1546,409,204,37,1335,449,2,810,239,1779,5301,126,667,154,806,8,156,823,13,509,97,188,474,17,126,116,3665,70,238,17,3122,43,47,6,0,84,410,4,107,171,545,2,186,0,0,0,0,46,0
23,322,404,636,30,107,211,87,418,2048,341,178,128,833,-512,5,440,361,1879,4931,4,1299,174,392,6,0,747,19,582,155,217,1333,286,220,167,3527,103,276,35,1745,98,55,31,239,148,341,2,144,108,2109,6,269,0,-13,0,0,-46,1
24,156,481,732,70,176,229,123,387,1830,601,259,389,2297,702,2,1339,325,2217,168,6,1330,101,577,2,872,1329,30,962,220,299,669,323,207,390,4111,98,239,30,3079,82,68,42,169,167,415,3,127,155,631,4,108,0,0,3,0,164,0
